staff_id,hotel_id,name,role,hire_date
124,12,Matthew Ramirez,housekeeping,2020-08-13
125,12,Michael Fisher,receptionist,2018-03-13
126,12,Mrs. Brittney Barnes,housekeeping,2017-09-03
127,12,Steven Kennedy,housekeeping,2025-09-17
128,13,Laura Robinson,receptionist,2017-02-04
129,13,Rita Ellis,receptionist,2021-05-09
130,13,Sarah Pierce,receptionist,2017-04-01
131,13,Christopher Rivera,manager,2023-08-23
132,13,Robert Santos,receptionist,2017-07-07
133,13,Jeremy Gibson,receptionist,2021-06-22
134,13,David Riggs,manager,2017-11-07
135,13,Katherine Scott,receptionist,2019-08-12
136,13,Craig Williamson,housekeeping,2022-01-13
137,13,Melissa Lam,manager,2017-11-25
138,13,Hannah Edwards,housekeeping,2025-04-04
139,14,Charles Franco,receptionist,2018-04-27
140,14,Mckenzie Decker,housekeeping,2023-12-05
141,14,Ronald Moore,receptionist,2020-10-30
142,14,Holly Montgomery,manager,2017-03-23
143,14,Whitney Allen,housekeeping,2019-11-11
144,14,Nathan Stephens,concierge,2024-11-30
145,14,Terri Benitez,receptionist,2022-06-23
146,14,Joanne Mathis,housekeeping,2021-10-10
147,15,Darrell Lam,receptionist,2025-07-20
148,15,Jessica Acevedo,concierge,2025-05-08
149,15,Patty Dunn,receptionist,2021-03-05
150,15,Dustin Khan,housekeeping,2020-04-27
151,15,Sheena Cooper,housekeeping,2018-07-07
152,15,Scott Shaffer,concierge,2021-08-05
153,15,Brittany Miller,concierge,2024-01-02
154,15,Tara Brown,receptionist,2017-03-06
155,15,Sabrina Ward,receptionist,2017-11-18
156,15,Brandi Tanner,receptionist,2016-12-21
157,15,Robert Hill,receptionist,2024-12-16
158,16,Scott Bond,concierge,2020-05-12
159,16,Matthew Osborn,housekeeping,2018-07-25
160,16,Ricardo Davis,receptionist,2020-10-25
161,16,Marcus Bowers,housekeeping,2021-08-16
162,16,Connie Smith,manager,2021-06-28
163,16,Nicole Juarez,housekeeping,2018-09-22
164,16,David Keith,concierge,2025-05-20
165,16,Darlene Pruitt,receptionist,2024-07-06
166,16,Melissa Vega,receptionist,2022-01-15
167,17,Colin Browning,receptionist,2016-12-08
168,17,Joshua Allen,housekeeping,2021-08-02
169,17,Blake Rose,housekeeping,2021-03-28
170,17,Sandra Marsh,concierge,2024-09-24
171,17,Vanessa Davis,housekeeping,2018-08-10
172,17,Daniel Blackburn,concierge,2019-12-28
173,17,Kerry Nichols,concierge,2023-11-12
174,17,Angela Foster,concierge,2021-06-24
175,18,Joshua Johnson,receptionist,2019-12-02
176,18,Mark Bradley PhD,housekeeping,2020-03-08
177,18,Donald Moran,housekeeping,2017-10-18
178,18,Casey Martin,housekeeping,2023-05-19
179,18,Amanda Acevedo,manager,2019-03-23
180,18,Victoria Brooks,receptionist,2017-04-21
181,18,Darren Carlson,receptionist,2018-02-11
182,18,Amanda Mckenzie,housekeeping,2020-04-18
183,18,Lauren Edwards,housekeeping,2022-04-25
184,18,Mark Gilbert,concierge,2018-07-12
185,18,Claire Bauer,receptionist,2020-05-28
186,18,Richard Wong,concierge,2025-12-30
187,18,Joel Morales,receptionist,2017-06-30
188,18,Robert Manning,receptionist,2021-08-06
189,19,Kenneth Rodriguez,housekeeping,2018-02-18
190,19,Michael Parker,receptionist,2020-08-31
191,19,Lindsey Harrison,housekeeping,2021-09-30
192,19,Richard Cunningham,housekeeping,2023-09-04
193,19,Austin Graves,housekeeping,2020-11-21
194,19,Ashley Kennedy,receptionist,2019-10-10
195,19,Jeffrey Powell,housekeeping,2018-10-28
196,19,Emma Schmidt,manager,2021-05-18
197,19,Christine Hull,housekeeping,2019-12-30
198,19,Jonathan Farmer,housekeeping,2024-02-07
199,19,Michelle Johnson PhD,housekeeping,2025-06-28
200,19,Anthony Travis,receptionist,2024-05-31
201,20,Brad Craig,housekeeping,2023-01-10
202,20,Michael Gomez,housekeeping,2022-11-07
203,20,Patrick Chen,receptionist,2019-09-09
204,20,Charles Rollins,manager,2024-05-23
205,20,Michelle Williams,receptionist,2020-05-02
206,20,Carolyn Torres,receptionist,2024-06-27
207,20,Courtney Price,housekeeping,2020-02-13
208,20,Joshua Rogers,housekeeping,2022-07-14
209,20,Scott Conley,housekeeping,2025-01-05
210,20,Edward Decker,manager,2022-09-09
211,20,Matthew Adams,receptionist,2025-11-18
212,20,Sara Walker MD,receptionist,2017-02-26
213,20,Michael Cruz,concierge,2021-06-09
214,21,Wendy Johnson,concierge,2017-02-05
215,21,Jessica Gilbert,receptionist,2017-12-30
216,21,Adam Lewis,housekeeping,2017-05-21
217,21,Lori Chapman,receptionist,2018-09-13
218,21,Ronald Ward,housekeeping,2021-01-20
219,21,Brittany Thomas,receptionist,2024-04-04
220,21,Cheyenne Morales,housekeeping,2017-10-25
221,21,Luis Fitzpatrick,housekeeping,2018-12-26
222,21,Tara Guzman,receptionist,2017-03-23
223,21,Christine Williams,receptionist,2021-05-25
224,22,Grant Smith,receptionist,2025-03-28
225,22,Andrea Hardy,concierge,2021-08-25
226,22,Alexander Berg,manager,2019-08-01
227,22,Kelly Alvarado,housekeeping,2018-01-08
228,22,Lauren Pope,housekeeping,2024-02-04
229,22,Rebecca Valdez,concierge,2021-03-19
230,23,Kimberly Tyler,concierge,2019-03-02
231,23,Amy Valdez,receptionist,2024-09-24
232,23,John Cook,receptionist,2023-07-25
233,23,Caleb Conway Jr.,receptionist,2023-07-15
234,23,Chad Hall,housekeeping,2017-06-13
235,23,Susan Henry,manager,2025-12-13
236,24,James Morgan,manager,2017-01-16
237,24,Jessica Black,receptionist,2022-03-21
238,24,Anna Garcia,housekeeping,2019-08-05
239,24,Kenneth Henson,receptionist,2024-08-18
240,24,Susan Barber,housekeeping,2018-01-02
241,24,William Foster,housekeeping,2022-02-16
242,24,Patty Mayer,housekeeping,2023-02-12
243,24,Michael Oconnor,receptionist,2025-08-25
244,24,Jimmy Walls,housekeeping,2023-12-18
245,24,Antonio Johnson,housekeeping,2018-08-22
246,25,Carl Vincent,housekeeping,2023-10-24
247,25,Carmen Buck,concierge,2017-06-19
248,25,Robert Dunlap,housekeeping,2019-10-17
249,25,Alyssa Romero,manager,2024-02-29
250,25,Juan Miles,receptionist,2024-01-11
251,25,Robert Forbes,housekeeping,2022-10-08
252,25,Amanda Barrett,receptionist,2020-12-25
253,25,Joshua Chavez,concierge,2023-12-12
254,25,Mary Nguyen,receptionist,2019-03-16
255,25,Justin Martin,concierge,2020-09-18
256,25,Donald Rice,receptionist,2022-11-03
257,26,Gregory Russell,housekeeping,2017-02-23
258,26,Kenneth Diaz,housekeeping,2018-10-05
259,26,Jim Nelson,housekeeping,2024-06-22
260,26,Julie Estrada,concierge,2021-11-14
261,26,Johnathan Sanchez,housekeeping,2016-12-07
262,26,Kaitlin Martinez,housekeeping,2025-08-20
263,26,Jennifer Gilbert,housekeeping,2025-06-03
264,26,Diane Erickson,manager,2019-06-09
265,27,Kristina Smith,receptionist,2021-07-21
266,27,Ashley Lopez,receptionist,2017-03-15
267,27,Luis Jackson,housekeeping,2022-08-21
268,27,Adam White,receptionist,2023-10-19
269,27,David Rose,housekeeping,2018-08-18
270,27,Adam Garza,receptionist,2019-03-03
271,27,Kenneth Montgomery,housekeeping,2025-05-25
272,27,Donna Johnson,housekeeping,2021-03-15
273,27,Donald Morris,receptionist,2022-05-24
274,27,Tiffany Russell,housekeeping,2022-11-25
275,27,Michelle Perry,receptionist,2020-09-10
276,27,Steven Warren,housekeeping,2017-05-07
277,27,Joe Garcia,receptionist,2021-08-06
278,28,Jared Rogers,concierge,2016-12-21
279,28,Jesse Park,receptionist,2020-02-10
280,28,Carrie Medina,housekeeping,2024-06-13
281,28,Jennifer Farrell,housekeeping,2023-01-19
282,28,Patrick Duncan,receptionist,2020-11-03
283,28,Alexandra Leonard,housekeeping,2022-07-05
284,28,Vanessa Hanna,manager,2018-10-19
285,28,Robert Bonilla,housekeeping,2024-05-25
286,28,Corey Price,concierge,2019-01-27
287,28,Kathryn Gomez,housekeeping,2018-05-29
288,28,Robert Woods,receptionist,2021-04-29
289,28,Amber Greer,concierge,2018-09-18
290,28,Monica Williams,concierge,2018-04-04
291,28,Mary Smith,receptionist,2017-04-27
292,29,Brandon Reyes,housekeeping,2025-06-15
293,29,Brad Mitchell,receptionist,2020-11-05
294,29,Teresa Lee,housekeeping,2019-10-22
295,29,Sharon Collier,receptionist,2022-03-10
296,29,Randy Pena,manager,2025-11-16
297,29,Lauren Holt,receptionist,2024-07-20
298,29,Daniel Hall,receptionist,2021-10-17
299,29,Jennifer Villanueva,housekeeping,2018-03-22
300,29,Madison Burch,receptionist,2020-12-25
301,29,Sabrina Nelson,housekeeping,2018-06-27
302,29,Maria Duran,manager,2017-07-05
303,29,Brian Holmes,housekeeping,2021-06-15
304,30,Erin Parks,housekeeping,2021-04-01
305,30,David Harris MD,manager,2022-04-13
306,30,Jasmine Smith,concierge,2019-05-03
307,30,Linda Reed,receptionist,2017-06-01
308,30,Daniel Davis,concierge,2024-03-03
309,30,Kim Ramirez,housekeeping,2019-10-15
310,30,Carly Wyatt,concierge,2018-08-26
311,30,David Cardenas,receptionist,2019-04-09
312,30,Robert Jimenez,housekeeping,2024-09-08
313,30,Jasmine Kidd,receptionist,2022-12-06
314,31,John Trevino,housekeeping,2020-02-17
315,31,Eric Moreno,housekeeping,2020-03-06
316,31,Christine Black,housekeeping,2019-05-14
317,31,Nicholas Briggs,manager,2020-04-10
318,31,Scott Walker MD,concierge,2025-03-06
319,31,Kimberly Davis,receptionist,2025-12-21
320,31,John Carlson,housekeeping,2017-01-25
321,31,Connor Jackson,receptionist,2019-06-17
322,31,Michael Durham,manager,2018-01-10
323,32,Eileen Schwartz,concierge,2021-02-14
324,32,Dr. Adam Wood MD,housekeeping,2020-12-25
325,32,Lauren Farrell,housekeeping,2024-11-26
326,32,Mrs. Kayla Fox MD,housekeeping,2021-03-31
327,32,Savannah Beck,housekeeping,2021-06-05
328,32,Brian Pena,housekeeping,2019-08-23
329,32,Larry Rich,receptionist,2023-10-14
330,32,Ian Robbins,concierge,2019-07-04
331,32,Phillip Snyder,receptionist,2017-11-29
332,32,Kristen Johnson,manager,2020-07-19
333,32,Marcus Garcia,manager,2018-03-23
334,33,Chase Young,concierge,2021-08-11
335,33,Thomas Ramirez,receptionist,2018-08-21
336,33,Jesse Patterson,housekeeping,2025-12-17
337,33,Crystal Gray,housekeeping,2021-08-27
338,33,Carrie Clayton,concierge,2018-04-07
339,33,David Stuart,receptionist,2019-08-30
340,33,Stacy Reynolds,housekeeping,2020-06-29
341,33,Paul Jones,housekeeping,2018-02-21
342,33,Brandon Ford,receptionist,2025-07-14
343,33,Elizabeth Rose,manager,2021-12-06
344,34,Stefanie Lewis,receptionist,2017-12-31
345,34,Eric Daniels,receptionist,2023-07-15
346,34,Anthony Fox,receptionist,2023-03-17
347,34,Anthony Murphy,housekeeping,2017-12-31
348,34,Franklin Hartman,receptionist,2019-10-22
349,34,Laura Williams,receptionist,2024-01-25
350,34,Darlene Galloway,manager,2024-06-04
351,34,Diana Woods DDS,housekeeping,2022-01-27
352,34,Christina Rodriguez,receptionist,2025-02-16
353,34,Michelle Harris,receptionist,2018-08-13
354,34,Amber Lee,receptionist,2020-03-05
355,34,Chelsea Brady,receptionist,2025-03-04
356,34,Christopher Phillips,housekeeping,2021-01-15
357,35,Michael Pittman,receptionist,2022-01-30
358,35,Heather Kim,housekeeping,2017-04-22
359,35,Paul Dalton,receptionist,2021-11-05
360,35,Jennifer Edwards,receptionist,2022-01-22
361,35,Miranda Hansen,receptionist,2022-07-03
362,35,Craig Ray,housekeeping,2020-12-13
363,35,Marie Huerta,receptionist,2019-11-07
364,35,Joshua Campos,housekeeping,2022-04-14
365,35,Diane Carr,housekeeping,2024-02-01
366,35,Joseph Campbell,housekeeping,2022-04-16
367,36,Bradley Hall,receptionist,2022-05-09
368,36,Parker Henderson,receptionist,2019-06-15
369,36,James Watson,housekeeping,2025-08-07
370,36,Jimmy Martinez,receptionist,2021-11-08
371,36,Pedro Kerr,receptionist,2017-09-17
372,36,Thomas Wilkins,housekeeping,2022-07-16
373,37,Kayla Thomas,housekeeping,2024-06-05
374,37,Erika Meyer,receptionist,2017-06-15
375,37,Shannon Jenkins,receptionist,2018-10-31
376,37,Jeremy Reyes,receptionist,2025-07-15
377,37,Lorraine Sims,housekeeping,2024-07-30
378,37,Sheryl Lawson,housekeeping,2018-07-20
379,37,Tammy Turner,concierge,2018-12-24
380,37,Charles Anderson,housekeeping,2020-04-05
381,37,Steven Pena,concierge,2021-12-04
382,37,Jimmy Nguyen,receptionist,2019-09-15
383,37,Haley Reed,receptionist,2021-11-21
384,38,Morgan Dickerson,housekeeping,2018-07-05
385,38,Katherine Jones,housekeeping,2017-08-26
386,38,Matthew Robinson,concierge,2024-10-25
387,38,Shane Matthews,receptionist,2020-09-08
388,38,Christopher King,receptionist,2023-01-17
389,38,Keith Chapman,concierge,2021-05-23
390,38,Holly Brown,housekeeping,2024-08-25
391,38,Deborah Stanley,receptionist,2023-08-31
392,38,Tracy Sharp,receptionist,2022-10-29
393,38,Steven Zimmerman,receptionist,2022-07-19
394,38,Kimberly Beltran,housekeeping,2023-09-15
395,38,Helen Gallagher,manager,2024-06-05
396,39,Benjamin Henry,housekeeping,2022-09-10
397,39,Tammy Austin,concierge,2022-10-06
398,39,Erica Pearson,concierge,2023-07-12
399,39,Timothy Oneill,housekeeping,2018-11-15
400,39,Robert Nguyen,manager,2020-08-24
401,39,Jeff Duncan,housekeeping,2025-08-12
402,40,Christine Brown,receptionist,2020-10-13
403,40,Douglas Brooks,housekeeping,2024-08-08
404,40,Nicole Farmer,housekeeping,2023-09-01
405,40,Lindsay Russo,housekeeping,2022-03-19
406,40,Deborah Robinson,receptionist,2021-08-01
407,40,Lori Hamilton DVM,housekeeping,2020-07-25
408,40,Mary Miller,housekeeping,2021-12-07
409,40,Alejandro Boyd,receptionist,2019-10-13
410,40,Jennifer Osborne,housekeeping,2020-06-02
411,41,Angela Garcia,housekeeping,2025-03-03
412,41,Scott Rodriguez,receptionist,2021-12-11
413,41,Brian Sheppard,manager,2022-03-17
414,41,Jessica Black,housekeeping,2022-02-02
415,41,Kristina Martin,housekeeping,2020-09-11
416,41,Steven Green,receptionist,2018-09-04
417,41,Mercedes Carter,receptionist,2017-10-04
418,41,Rita Peck,housekeeping,2017-03-16
419,41,Brian Johnson,receptionist,2025-08-28
420,42,Todd Ortiz,receptionist,2018-12-04
421,42,Edward Smith Jr.,housekeeping,2021-05-29
422,42,Christopher Hickman,housekeeping,2018-05-10
423,42,Gary Blankenship,housekeeping,2019-03-17
424,42,Jackson Hutchinson,receptionist,2024-10-24
425,42,Courtney Bauer MD,receptionist,2024-02-10
426,42,Danny Wagner,receptionist,2018-01-20
427,42,Patricia Lowe,receptionist,2017-09-26
428,42,Craig Jackson,housekeeping,2021-01-20
429,42,Jose Brooks,housekeeping,2022-05-23
430,42,Gregory Marshall DVM,receptionist,2018-04-01
431,42,Erika Torres,concierge,2018-02-02
432,42,Jason Mckinney,receptionist,2017-07-15
433,42,Daniel Joseph,housekeeping,2018-08-30
434,43,Ruth Henry,receptionist,2020-02-19
435,43,Dustin Ashley,receptionist,2023-02-02
436,43,Andrew Fitzgerald,receptionist,2023-02-06
437,43,Gilbert Wilson,receptionist,2021-02-05
438,43,Lauren Jackson,receptionist,2018-01-21
439,43,Priscilla Morgan,housekeeping,2023-05-20
440,43,Melissa Holloway,manager,2023-06-14
441,43,Michael Price,concierge,2018-11-26
442,43,Jacob Ross,receptionist,2018-12-01
443,43,Elizabeth Galvan,housekeeping,2023-04-10
444,43,Diane Castaneda,housekeeping,2017-01-18
445,43,Eric Phillips,manager,2019-11-18
446,43,Gina Abbott,receptionist,2021-05-09
447,43,Lonnie Duran,receptionist,2017-10-06
448,44,Randy Gross,receptionist,2017-03-06
449,44,Rachel Kelly DDS,concierge,2021-12-12
450,44,Anthony Silva,housekeeping,2025-05-30
451,44,Darren Leon,manager,2019-04-26
452,44,Kimberly Griffith,housekeeping,2017-10-18
453,44,Jamie Hogan,receptionist,2019-01-26
454,45,Clarence Evans,concierge,2017-05-03
455,45,Elizabeth Mcmillan,concierge,2024-07-30
456,45,Ashley Brooks,manager,2017-04-06
457,45,Nicole Smith,receptionist,2019-02-13
458,45,Nathan Meyers,receptionist,2021-07-12
459,45,Kevin Hernandez,housekeeping,2018-12-14
460,45,Michael Glover,receptionist,2020-01-12
461,45,Kayla Owens,receptionist,2019-05-28
462,45,Steven Lewis,concierge,2025-12-16
463,45,William Schmidt,receptionist,2023-03-18
464,45,Janet Garcia,receptionist,2021-11-13
465,45,Jessica Carter,receptionist,2019-08-09
466,45,Gerald Camacho,concierge,2016-12-14
467,46,Cynthia Gardner,receptionist,2023-03-17
468,46,Virginia Moore,manager,2021-05-09
469,46,Eugene Morrow,housekeeping,2020-07-16
470,46,Brian Perez,receptionist,2018-08-25
471,46,Kevin Brooks,concierge,2023-10-20
472,46,Melissa Eaton,housekeeping,2023-01-23
473,46,Tiffany Hoffman,receptionist,2024-09-24
474,46,Steven West Jr.,housekeeping,2025-03-04
475,46,Tamara Kelly,housekeeping,2018-04-28
476,46,Maria Foster,housekeeping,2018-09-01
477,46,Megan Holland,concierge,2022-06-05
478,46,Joel Dominguez,receptionist,2017-11-14
479,46,Stephanie Ewing,receptionist,2023-04-26
480,46,Dawn Martin,receptionist,2021-03-29
481,47,Oscar Martin,receptionist,2017-06-06
482,47,Melissa Hall,receptionist,2025-07-22
483,47,Emily Richardson,housekeeping,2021-09-16
484,47,Erik Tyler,manager,2021-09-21
485,47,Bruce Wells,housekeeping,2021-12-20
486,47,Chase Sandoval,receptionist,2020-08-10
487,47,Mary Cox,housekeeping,2021-12-25
488,47,Maria Shaw,concierge,2023-02-04
489,47,Shawn Willis,housekeeping,2020-11-19
490,48,Veronica Beltran,housekeeping,2019-11-12
491,48,Aaron Hull,housekeeping,2023-12-03
492,48,Kyle Carter,housekeeping,2017-02-26
493,48,Steven Young,housekeeping,2016-11-25
494,48,Joseph Whitehead,housekeeping,2023-01-07
495,48,Laura Patterson,receptionist,2016-12-04
496,48,Mrs. Dawn Oconnell DVM,receptionist,2022-06-13
497,48,Robert Brown,concierge,2025-05-06
498,48,Jessica Everett,receptionist,2017-02-19
499,49,Christian Miller,manager,2017-01-03
500,49,Michael Martin,housekeeping,2018-01-20
501,49,Sean Mueller,housekeeping,2018-10-27
502,49,Austin Griffin,housekeeping,2018-10-03
503,49,Natasha Crosby,receptionist,2017-10-07
504,49,Michael Bennett,concierge,2025-08-09
505,49,Beth Jones,housekeeping,2020-04-01
506,49,Scott Johnson,concierge,2019-07-26
507,50,Patricia Foster,receptionist,2022-12-22
508,50,Kyle Dunlap,housekeeping,2017-04-13
509,50,Derrick Cruz,housekeeping,2018-11-03
510,50,Kristen Morgan,concierge,2020-10-20
511,50,Patrick Holmes,concierge,2019-09-01
512,50,Penny Barber,receptionist,2016-12-19
513,51,Aaron Li,receptionist,2017-08-25
514,51,Melissa Castaneda,manager,2025-12-22
515,51,David Stuart,receptionist,2024-03-16
516,51,Shawn Moss,housekeeping,2020-10-02
517,51,Brad Peterson,concierge,2017-07-24
518,51,Eric Ramos,receptionist,2025-01-27
519,51,Lucas Moore,receptionist,2020-09-05
520,51,Kimberly Larsen,receptionist,2025-10-28
521,52,Christopher Warren,receptionist,2021-06-08
522,52,Timothy Murray,housekeeping,2023-02-10
523,52,Erika Atkins,housekeeping,2020-02-02
524,52,Melissa Stanley,housekeeping,2019-03-25
525,52,Sophia Anderson,housekeeping,2025-05-12
526,52,Raymond Wells,housekeeping,2019-01-21
527,53,Andrew Fritz,receptionist,2019-08-28
528,53,Nicole Morris,receptionist,2018-09-22
529,53,Candice Sosa,housekeeping,2018-05-18
530,53,Daniel Cervantes,manager,2022-12-03
531,53,Amy Davis,manager,2023-03-23
532,53,Erica Smith,housekeeping,2022-12-07
533,53,Peggy Ramos,concierge,2019-06-25
534,53,Mark Ward,receptionist,2025-09-27
535,54,Kelly Thomas,housekeeping,2017-11-28
536,54,Charles Gonzalez,receptionist,2023-05-25
537,54,Jermaine Smith,manager,2025-08-23
538,54,Brandon Ramirez,receptionist,2023-08-10
539,54,Joshua Smith,receptionist,2023-10-03
540,54,Timothy Zimmerman,housekeeping,2018-05-25
541,54,Sara Campbell,concierge,2018-03-20
542,54,Colleen Ray,receptionist,2022-06-18
543,54,Fred Soto,receptionist,2017-09-27
544,54,Jerry Patterson,housekeeping,2020-05-11
545,55,David Morris,receptionist,2017-08-18
546,55,Patrick Barrett,concierge,2021-03-14
547,55,Lisa Woods,receptionist,2025-08-01
548,55,Charles Steele,concierge,2024-01-31
549,55,Victor Wallace,manager,2019-03-05
550,55,Maria Graves,concierge,2020-09-23
551,55,Allison Mann,housekeeping,2025-10-30
552,55,Stephen Hicks,manager,2018-05-19
553,55,Anthony Morrison,receptionist,2021-11-25
554,55,Beverly Mathews,manager,2019-06-19
555,55,Maria Jackson,manager,2021-01-26
556,56,Kenneth Jackson,housekeeping,2018-05-01
557,56,Kayla Farmer,concierge,2019-12-20
558,56,Grace Johnson,housekeeping,2018-08-04
559,56,Rodney Thompson,housekeeping,2022-08-07
560,56,Alec Nelson,housekeeping,2021-05-13
561,56,Vanessa Martinez,receptionist,2018-01-18
562,56,Sara Mccall,concierge,2018-06-27
563,56,Sarah Clayton,housekeeping,2023-11-09
564,56,Lori Dixon,receptionist,2021-12-04
565,57,David Allen,manager,2023-04-20
566,57,Kyle Smith,housekeeping,2024-04-17
567,57,Angel Stewart,housekeeping,2022-11-15
568,57,Samantha Gardner,concierge,2020-06-06
