"guest_id","full_name","total_spend","spend_quartile"
3354,Marcia Gray,12600.52,1
5582,Cody Horn,12583.61,1
4796,Jennifer Miller,12553.34,1
2092,Matthew Combs,12538.52,1
8068,Michael Lee,12520.89,1
4018,Angela Cohen,12519.76,1
6309,Kyle Clark,12509.23,1
9029,Ricky Guzman,12507.05,1
4175,Alexandria Kelly,12498.96,1
5134,Julie Brown,12480.18,1
1229,Charles James,12449.86,1
7896,Robin Moore,12441.36,1
2290,Anne Wright,12425.68,1
1276,Richard Miller,12424.94,1
2347,Kristin Sanchez,12405.31,1
71,Nathan Montes,12404.33,1
9044,Pamela Brown,12390.92,1
9532,Cole Gates,12390.65,1
6778,Daniel Ingram,12378.12,1
3295,Howard Evans,12347.68,1
9682,David Martinez,12323.07,1
1019,Tracy Williams,12322.48,1
2502,Evan Taylor,12280.59,1
4043,Terry Ford,12254.53,1
8095,Michelle Trevino MD,12244.27,1
905,Angela Wallace,12223.94,1
2693,Kelsey Fuentes,12216.20,1
5104,Maria Watson,12210.75,1
2309,Maureen Wallace,12208.89,1
3534,Tamara Perez,12193.71,1
6954,Carrie Turner,12187.44,1
7284,Michelle Griffin,12177.32,1
2883,Alison Armstrong,12175.60,1
5988,Joseph Taylor,12139.05,1
8594,Brandon Davis,12138.47,1
3895,Debra Phillips,12137.71,1
7144,Carlos Mooney,12132.75,1
6688,Marie Lopez,12131.66,1
4258,Scott Bell,12128.55,1
9781,Natasha Miller,12073.41,1
591,Victoria Massey,12046.71,1
3296,Jeremy Moore,12041.19,1
9800,Jennifer Huff,12023.63,1
986,Cody Ford,11981.59,1
9142,David Newman,11971.92,1
4825,Ricky Williams,11968.34,1
2326,James Harrington,11962.59,1
462,Anna Watkins,11959.15,1
1674,Amanda Savage,11950.17,1
1936,Kevin Brown,11944.50,1
3055,John Taylor,11908.25,1
9985,Christopher Porter,11893.67,1
681,Katherine Padilla,11878.53,1
5689,Kimberly Nichols,11873.03,1
3095,Richard Chavez,11862.74,1
1372,Melissa Miller,11860.85,1
2149,William Jones,11858.91,1
6829,Derek Jones,11857.10,1
7199,Brett Jones,11826.38,1
556,Vicki Stokes,11812.94,1
3700,Vanessa Mercado,11793.90,1
7783,Robert Salinas,11792.58,1
7516,Amber Brown,11766.20,1
2891,Jennifer Grant,11762.70,1
5991,Richard Freeman,11754.61,1
1792,Erin Lawson,11752.49,1
7883,Rebecca Williams,11751.42,1
6693,Cassandra Watson,11743.08,1
3715,Jenna Pineda,11731.99,1
4340,Troy Hill,11720.38,1
1788,Melissa Suarez,11715.27,1
3482,Rachel Perez,11695.67,1
7761,Justin Whitney,11689.41,1
7222,Isabella Jimenez,11685.39,1
7933,Devin Sanders,11684.33,1
4345,Brian Hall,11680.31,1
7809,John Koch,11624.16,1
3591,Andrew Brown,11617.72,1
1901,Christopher Mckenzie,11612.16,1
4681,Roger White,11608.35,1
4747,Jerry Carter,11599.63,1
5767,Jason Duarte,11595.69,1
8294,John Stephens,11569.84,1
3045,Alex Mueller,11569.39,1
5846,Melissa Walker,11562.16,1
3293,Benjamin Mccullough,11544.17,1
949,Molly Jones,11537.91,1
6659,Joshua Dorsey,11511.88,1
711,Sharon Smith,11483.87,1
719,Kathleen Robinson,11475.34,1
9874,Nicholas Lopez,11463.28,1
5935,Maria Lewis,11462.51,1
7314,William Holt,11460.66,1
2862,Janice Parrish,11460.08,1
6598,Marcus Mosley,11446.03,1
4589,Daniel Snyder,11432.29,1
7096,Jo Rodriguez,11411.44,1
9937,Paul Villarreal,11409.82,1
1864,Michael Mckee,11406.65,1
8232,Kelsey Sutton,11398.39,1
2367,Connie Gallegos,11379.68,1
312,Brandon Pearson,11360.76,1
9249,Danielle Ho,11354.45,1
6367,Faith Matthews,11352.48,1
9177,David Ray,11346.68,1
8038,Jamie Schmidt,11334.95,1
6792,John Dominguez,11333.92,1
896,Kimberly Black,11330.57,1
6127,Tonya Cline,11299.67,1
8836,Omar Davis DDS,11291.34,1
303,Mary Carrillo,11288.39,1
3892,Kevin Smith,11265.04,1
14,Stephen Mckee,11244.12,1
9544,Heather Weaver,11227.83,1
7881,Charles Fitzgerald,11218.79,1
4341,Brian Graham,11217.07,1
9628,Dustin Jordan,11197.95,1
4070,Ashley Anderson,11194.56,1
666,Heidi Hall,11190.99,1
420,Kathleen Adams,11186.86,1
9407,Jennifer Nguyen,11174.00,1
7345,Daniel Cuevas,11159.27,1
6146,Victoria Shaw,11134.78,1
873,Robin Patterson,11118.96,1
4335,Kelly Johnson,11116.18,1
5235,Meredith Rose,11108.43,1
5581,Kevin Weiss,11108.30,1
3831,Amber Morris,11100.92,1
5774,Corey Park,11082.11,1
1719,William Baker,11048.46,1
8501,Angela Smith,11025.76,1
5200,Patricia Rodriguez,11023.03,1
1010,Brooke Lambert,11022.98,1
3660,George Dean,11022.73,1
165,Stacey Snyder,11021.20,1
176,Becky Johnson,11006.60,1
9162,Teresa Leonard,11000.40,1
3032,Nancy Harris,10996.28,1
4201,Alison Burgess,10994.10,1
7079,Alan Powell,10978.48,1
7146,Laura Rocha,10954.67,1
9064,Bryan Park,10943.96,1
1747,Robert Rivera,10935.61,1
4827,Richard Valencia,10918.64,1
2625,Kristin Tucker,10880.72,1
6782,Kelly Price,10876.84,1
7968,Johnathan Sanchez,10848.11,1
2607,Kristin Reed,10839.73,1
7591,Joshua Jenkins,10838.08,1
9300,Tammy Cannon,10828.25,1
8598,Mr. Adam House,10820.35,1
8342,Haley Adams,10816.90,1
274,Charles Delgado,10806.97,1
1768,Jenna Booth,10803.08,1
2749,Tammy Clark,10802.66,1
5116,William Spencer,10801.20,1
277,Sophia Hall,10793.70,1
3618,Andrea Mcclain,10793.69,1
7512,Joshua Tran,10790.33,1
6456,Robert Byrd,10786.61,1
6304,Elizabeth Garza,10783.11,1
6992,Kyle Barnes,10782.91,1
8467,Anthony Montgomery,10781.47,1
7574,Troy Smith,10772.80,1
1367,Brian Lopez,10746.10,1
3707,Elizabeth Frazier,10745.17,1
9516,John Cervantes,10740.85,1
4009,Sheri Mitchell,10739.51,1
7830,Steven Morrow,10736.54,1
7688,Courtney Perez,10717.76,1
5548,Charles Morton,10715.61,1
8036,Mark Sanchez,10712.26,1
46,Megan Moore,10706.06,1
4619,Taylor Carrillo,10705.98,1
5091,Edward Burgess,10704.64,1
7098,Carolyn Ayers,10702.30,1
7356,Ana Mitchell,10699.34,1
5344,Anna Boyer,10670.04,1
8867,Veronica Hoffman,10669.92,1
8640,George Cox,10668.31,1
2584,Kara Frazier,10666.56,1
786,Benjamin Townsend,10660.90,1
7184,Adam Cole,10654.55,1
1527,Rhonda Cook,10652.97,1
7090,Ryan Porter,10642.70,1
4664,Cindy Griffith,10636.97,1
1745,Ralph Graham,10626.31,1
4602,Emily Cooper,10623.51,1
2278,Michael Duncan,10616.81,1
3557,Dr. Michael Boyd,10606.07,1
3560,Mr. James Miles,10601.78,1
6164,Beth Higgins,10594.11,1
5691,David Smith,10592.55,1
3148,Susan Payne,10590.37,1
9734,Regina Roberts,10559.45,1
6974,Isaac Thompson,10551.05,1
8982,Connor Lawson,10544.92,1
3066,Kimberly Johnson,10540.64,1
5492,Paula Wilson,10534.80,1
346,Anthony Jones,10506.57,1
9345,Amy Johnson,10503.62,1
1188,Jacob Hoover,10497.74,1
3546,Kelsey Camacho,10492.22,1
5845,Crystal Hatfield,10475.05,1
8779,Ryan Bauer,10469.27,1
9073,Dawn David,10465.91,1
4819,Rebecca Andersen,10461.29,1
6729,Stephen Johnson,10455.30,1
3873,Judy Barton,10453.44,1
1735,Dylan Willis,10435.27,1
2659,Rachel Briggs,10419.65,1
5716,Joshua Kelly,10401.48,1
7603,Kenneth Watson,10392.75,1
1095,Kristin Taylor DDS,10389.50,1
5926,Monica Bird,10387.55,1
7045,Jill Marshall,10366.62,1
9031,Marie Dixon,10364.68,1
1579,Angelica Stein DDS,10362.26,1
4331,Cole Stephenson,10358.26,1
9674,Mr. Christopher Thomas,10354.04,1
8530,Bailey Moon,10352.10,1
9330,Emily Lambert,10346.90,1
3492,Michael Moore,10345.00,1
1660,Justin Flores,10344.46,1
175,Jonathon Taylor,10344.37,1
7606,Melissa Gonzales,10332.12,1
9993,Anthony Anthony,10327.95,1
6163,Amy Lopez,10310.24,1
7050,Amy Holloway,10285.03,1
746,Kyle Simmons,10284.93,1
1809,Daniel Torres,10284.46,1
1607,Molly Graves,10280.16,1
4608,Daniel Jones,10271.82,1
4497,James Dean,10269.91,1
1993,David Brandt,10256.97,1
4803,Andrew Grimes,10252.59,1
3238,Thomas Thomas,10252.34,1
4775,Justin Day,10233.22,1
3375,Carrie Norris,10231.30,1
6126,James Schroeder,10229.28,1
4611,Kristen Smith,10214.34,1
2006,Robert Benson,10211.71,1
3976,Beth Marshall,10195.58,1
7259,Virginia Baker,10194.33,1
3630,Ashley Ryan,10178.21,1
3167,Katherine Cruz,10163.56,1
2649,Ronald Kennedy,10149.95,1
747,Tiffany Wilson,10146.87,1
8805,Christian Harper,10145.00,1
6814,Mrs. Patricia Hampton DDS,10125.98,1
28,Tyler Reid,10116.63,1
2244,Rebecca Hernandez,10115.36,1
4292,Travis Weaver,10101.17,1
4713,Kimberly White,10093.31,1
3190,Michael Jones,10088.57,1
9120,Robert Ford,10082.24,1
5269,Lisa Smith,10076.48,1
3287,Joshua Thompson,10065.28,1
5202,Martin Owen,10062.49,1
4071,Sherri Adams,10052.06,1
7908,Meghan Patel,10049.85,1
6292,Phillip Gates,10045.75,1
429,Roger Jacobs,10035.28,1
3226,Susan Moore,10024.02,1
2289,Christopher Morris,10021.55,1
9701,Charles Ortiz,10019.46,1
1552,Kevin Gutierrez,10017.73,1
6191,Ashley Mcintyre,10017.18,1
322,Gabriela Randolph,10016.59,1
4519,Julie Robinson,10013.48,1
794,Dr. Sarah Smith,10013.36,1
6440,Tyler Tate,9998.07,1
9742,Joshua Romero,9994.11,1
2105,Craig Fox,9987.74,1
7075,Michelle Jones,9987.59,1
9551,Daniel Hall,9985.22,1
6582,Katie Jordan,9978.71,1
5641,Jonathan Moore,9970.32,1
7519,Kevin Alvarado,9969.59,1
9000,Janet Gordon,9965.00,1
5624,Joshua Conley,9960.44,1
9438,Tanner Lester,9952.99,1
4901,Jeffrey Allen,9949.97,1
4371,Jennifer Bartlett,9949.59,1
9315,Mark Cervantes,9949.54,1
8696,Ashley Park,9946.10,1
4348,Amanda Lindsey,9936.86,1
8916,John Peterson,9933.44,1
5411,Steve Hardy,9933.04,1
9639,Andrea Johnson,9920.23,1
6975,Kathleen Thomas,9910.78,1
6001,Wendy Bradshaw,9910.76,1
8442,Amanda Ortiz,9906.85,1
3943,Joshua Herrera,9905.61,1
8374,Matthew Hernandez,9902.56,1
8440,Daniel Miller,9894.46,1
1645,Cindy Duncan,9893.52,1
3299,Jimmy Dean,9872.61,1
4259,Eric Wheeler,9872.36,1
6412,Luis Green,9859.22,1
2864,Edward Clark,9854.80,1
4449,Mary Leonard,9854.35,1
2477,Dustin Collier,9838.57,1
4980,Aaron Johnson,9825.32,1
5308,Justin Fitzpatrick,9821.00,1
4808,Kristen Miller,9815.94,1
1677,Kevin Reese,9813.70,1
8244,Heather Martin,9807.84,1
3799,Candace Ford,9804.31,1
1696,Kimberly Kelly,9801.12,1
5342,Anita Meadows,9777.91,1
8957,Cameron Kennedy,9771.57,1
8291,Peter Bradshaw,9769.30,1
3594,Jennifer Price,9756.48,1
6875,Dustin Tate,9744.99,1
1174,Savannah Estrada,9739.51,1
1771,George Holland,9730.12,1
1219,Dr. Travis Morris DDS,9724.71,1
3116,Nicholas Phillips,9720.83,1
9455,Kathryn Lynch,9714.80,1
9139,Connie Burch,9713.04,1
9005,Tony Porter,9707.99,1
7154,Olivia Anderson,9702.64,1
4527,Brittany Kelley,9702.40,1
2120,Amanda Garcia,9701.59,1
2089,David Moore,9693.11,1
4904,Ashley Chandler,9692.62,1
1093,Anna Pierce,9688.12,1
8253,Nichole Mayo,9687.56,1
6764,Donald Deleon DDS,9685.22,1
4049,Mary Hendrix,9673.49,1
8272,Michelle Blake,9672.27,1
7728,Mr. Daniel Sherman,9667.56,1
5457,Robert Chan,9665.12,1
9756,Suzanne Robinson,9660.67,1
8185,Stephen Torres,9653.75,1
7152,Monica Wiggins,9648.04,1
7202,Christopher Williams,9647.79,1
2792,Katherine Lawrence,9645.16,1
2214,Adam Wilson,9643.02,1
5334,William Nunez,9642.98,1
2228,Gregory Munoz,9633.83,1
6068,Nicholas Joseph,9629.86,1
3967,Dwayne Lambert,9629.31,1
4653,Karen Mcclain,9628.37,1
3311,Paul Luna,9623.80,1
4091,Daniel Adams,9622.78,1
5462,Amanda Patel,9621.77,1
6773,Jonathan Rodriguez,9607.86,1
451,Diana Lyons,9602.05,1
8080,Katherine Ferguson,9600.45,1
7625,Mike Henderson,9600.33,1
3379,Mark Andersen,9598.33,1
6719,Julie Baker,9589.34,1
4403,Gabrielle Leonard,9588.27,1
6571,Donald Meyer,9585.45,1
8144,Daniel Velasquez,9585.26,1
1618,Eric Richmond,9580.85,1
2241,Amy Craig,9562.87,1
2316,Joshua Cunningham,9562.52,1
6230,Jennifer Manning,9559.93,1
1237,Michelle Ramirez,9554.51,1
2449,Jessica Ward,9551.40,1
6507,Jimmy Thompson,9548.92,1
6644,Gabriel Smith,9543.51,1
5861,Troy King,9540.71,1
6371,Amy Sims,9533.31,1
1007,John Richards,9523.23,1
7469,Elizabeth Sanchez,9521.72,1
6088,Andrea Moses,9517.60,1
8910,Karen Frazier,9497.50,1
7544,Jennifer Williams,9495.51,1
308,Sandra Cole,9494.95,1
9097,William Allen,9492.50,1
9976,Dwayne Gonzalez,9489.67,1
2596,Caleb Owen,9474.43,1
6757,Dana Allen,9470.48,1
9017,Jordan Dillon,9469.90,1
8981,Kayla Johnson,9467.55,1
5329,Jeffrey French,9461.09,1
4116,Kimberly Pierce,9445.13,1
4525,Jeremy Ortega,9432.45,1
619,Jeffrey Morgan,9430.66,1
2220,Eric Cortez,9427.15,1
2178,Billy Lindsey,9426.03,1
382,David Robinson,9421.67,1
375,Bob Solis,9421.34,1
5258,Pamela Smith,9419.36,1
9748,Alexander Smith,9406.68,1
9832,Jeffrey Compton,9404.07,1
8579,Karen Parks,9402.16,1
1749,James Joseph,9391.24,1
2083,Samantha Miller,9386.53,1
7359,Amy Simmons,9378.46,1
606,Maria Sanders,9371.47,1
5848,Robert Martin,9368.26,1
707,Stacey Jones MD,9361.06,1
9588,Dr. Alejandro Keith,9360.90,1
5430,Frederick Stevens,9355.90,1
7339,Kelsey Harris,9346.88,1
6278,Ryan Hartman,9334.18,1
7068,Jennifer Wade,9326.69,1
7292,Shannon Harris,9315.56,1
7884,Matthew Hansen,9315.16,1
7708,Joseph Schneider,9313.09,1
6860,Michael Nelson,9306.23,1
3754,Ross Phillips,9305.37,1
6978,Christian Wilson,9304.22,1
4547,Jeffrey Maynard,9291.49,1
1871,Gail Collins,9287.73,1
673,Erin Carter,9284.24,1
8980,Jose Acevedo,9282.01,1
3862,Ricky Morgan,9281.58,1
6579,Victoria Abbott,9277.02,1
5025,William Smith,9272.56,1
1240,Peter Hunter,9271.63,1
7058,Taylor Yates,9264.76,1
3422,John Garcia,9260.94,1
5500,Michael Mckee,9259.38,1
7831,John Carney,9256.15,1
2910,Aaron Donovan,9248.91,1
2746,William Hansen,9247.38,1
6998,Tracy Phillips,9246.92,1
5855,Amy Molina,9246.68,1
4930,William Wyatt,9236.53,1
1694,Thomas Kelly,9236.30,1
3561,Jamie Williams,9234.68,1
7310,Jessica Stewart,9234.66,1
1866,Troy Gibson,9233.86,1
8504,Brittany Johnson,9229.55,1
4621,Courtney Sawyer,9217.44,1
2931,Jessica Austin,9214.02,1
3606,Jeffrey Price,9200.77,1
3466,Melissa Williams MD,9196.93,1
775,Geoffrey Austin,9196.19,1
2578,Susan Werner,9185.07,1
4790,Leslie Jenkins,9179.96,1
5978,Karen Clark,9176.31,1
2232,Marc Arroyo,9176.05,1
3258,Angel Gardner,9174.44,1
654,Kimberly Blevins,9153.30,1
7484,Tyler Dunn,9149.30,1
5648,Francis Nelson,9147.84,1
292,Justin Bridges,9141.23,1
4343,Heidi King,9139.26,1
9797,John Rose,9131.00,1
4386,Gina Holmes,9128.44,1
131,Scott Rose,9128.18,1
1030,Philip Chapman,9124.84,1
2430,Alexandra Myers,9123.21,1
6445,April Campbell,9122.09,1
3368,Anthony Hudson,9121.67,1
717,Lynn Ross MD,9118.92,1
4184,Kyle Pratt,9117.60,1
4577,Linda Jones,9115.48,1
6356,Sara Martinez,9112.35,1
3641,Kirsten Salazar,9108.87,1
2202,Jean Mitchell,9108.28,1
657,Mrs. Maria Price DDS,9107.18,1
963,Anthony Ashley,9103.97,1
2190,Sarah Zhang,9089.00,1
9091,Sabrina Henderson,9083.56,1
5766,Briana Doyle,9080.85,1
7924,Linda Stewart,9077.94,1
5726,Ashley White,9071.62,1
3079,Pamela Goodwin,9065.72,1
9572,Sarah Moss,9064.05,1
7455,Tommy Underwood,9057.80,1
6965,Daniel Flores,9052.91,1
9045,Kathleen Garcia,9050.24,1
7553,Cheryl Fletcher MD,9047.09,1
7742,Clayton Garcia,9046.95,1
9931,Scott Garcia,9046.25,1
9951,Kristen Rodriguez,9045.12,1
3743,Eric Butler,9042.60,1
1894,Morgan Stone,9038.02,1
5600,Kevin Wilson,9035.92,1
3532,Melissa Jones,9034.22,1
8928,Kristopher Robinson,9033.68,1
8137,Donna Moore,9030.61,1
4837,Heather Ballard,9027.19,1
3147,Melissa Duffy,9024.57,1
8624,Brian Kent,9020.01,1
9673,Larry Leon,9017.87,1
672,Autumn Gallagher,9016.70,1
8513,Jason Marks,9013.16,1
6200,Lauren Davenport,8994.50,1
7542,Andrew Reyes,8993.02,1
1455,Teresa Green,8986.10,1
2801,Christopher Sexton,8984.32,1
4675,Veronica Drake,8980.97,1
9911,Amanda Lopez,8979.34,1
6789,Donald Mann,8978.33,1
6721,Steven Rodriguez,8974.94,1
9934,Katherine Ford,8964.27,1
22,George Orozco,8962.17,1
3300,Jacob Schwartz,8960.98,1
2944,Alicia Malone,8957.28,1
8713,Destiny Sullivan,8954.23,1
4410,Kelsey Stevenson,8949.42,1
8621,Joshua Brown,8947.02,1
4105,Cindy Warner,8945.46,1
3286,Taylor Glover,8943.35,1
3063,David Lewis,8941.96,1
5753,Heather Wilson,8941.00,1
4246,Michelle Castro,8930.15,1
4289,Rachael Travis,8929.12,1
9910,Mr. Kevin Walker DDS,8920.66,1
3388,Alex Zamora,8914.98,1
114,Mary Duran,8914.28,1
2417,Timothy Lewis,8912.97,1
9235,Michael Santos,8909.49,1
2703,Karen Barnes,8906.87,1
3851,Betty Porter,8903.40,1
8971,Jeremy Hammond,8900.08,1
4540,Amanda Tran,8897.51,1
6496,Ruben Werner,8889.98,1
1111,Elaine Lindsey,8871.27,1
1232,Heather Brown,8866.63,1
2322,James Burke,8865.74,1
7304,Jason Castro,8863.97,1
381,Jennifer Stewart,8857.80,1
8885,Michael Sharp,8846.17,1
9790,Don Espinoza,8844.07,1
3011,Maureen Rhodes,8841.12,1
3659,Nicholas Caldwell,8839.64,1
2024,Michael Jackson,8837.00,1
8680,Elizabeth Johnson,8832.88,1
6696,Kristen King,8829.60,1
972,James Martin,8826.44,1
7037,Rachael Krueger,8821.96,1
1289,Angela Flores,8815.75,1
8846,Frank Adams,8811.67,1
1258,Brian Perez,8808.52,1
9014,Ana Walker,8801.85,1
2022,Christina Rich,8800.09,1
8724,Mr. Andrew Mclaughlin,8798.70,1
2330,Michael Morris,8796.22,1
2009,Raymond Cooley,8792.98,1
4387,Amy Baldwin,8789.28,1
2819,Timothy Johnson,8786.31,1
7414,Lisa Rodriguez,8784.41,1
9069,Haley Bush,8782.17,1
6736,Stephen Levine,8776.14,1
6366,Anthony Anderson,8770.30,1
1984,Timothy Beck,8766.01,1
6794,Ricky Hardy,8761.62,1
9622,Victor Fuentes,8746.25,1
5671,Jenna Clark,8740.54,1
5356,Adam Fields,8739.73,1
8378,Christina Fernandez,8735.62,1
4954,Cheryl Castro,8731.43,1
3414,Gregory Morales,8730.89,1
2763,Bryan Lawson,8728.80,1
6211,Mary Andrews,8728.40,1
1063,Tyler Patel,8723.95,1
7274,Maurice Wu,8720.64,1
6850,Patrick Burgess,8719.05,1
169,Darrell Adams,8718.06,1
2375,Benjamin Garcia,8716.04,1
4210,Anthony Rose,8713.71,1
7528,John Soto,8713.35,1
8647,Melissa Vaughn,8704.74,1
4560,Ashley Klein,8700.17,1
5208,Edward Wong,8699.87,1
5627,Deanna Rivera,8699.12,1
8670,Rebecca Miller,8695.53,1
5570,Zachary Benjamin,8692.98,1
7882,Jason Herrera,8691.33,1
1474,April Salazar,8689.88,1
965,Thomas Floyd,8685.74,1
4307,Anne Mckee,8683.44,1
3931,Hunter Rogers,8682.54,1
9613,Robert Leach,8681.10,1
3091,Connie Johnson,8679.15,1
170,Cynthia Evans,8676.95,1
3058,Tammy Schultz,8674.46,1
9383,Alyssa Cook,8673.35,1
3433,Kyle Pena,8672.60,1
6293,Justin Fisher,8672.36,1
6981,Linda Simon,8667.71,1
5056,Linda Kelley,8663.71,1
426,Christina Myers,8661.94,1
2321,Karen Mills DDS,8660.55,1
1267,Elizabeth Mejia,8652.11,1
8519,Timothy Cannon,8651.20,1
82,Donald Horne,8649.33,1
9863,Maria Ramos,8648.50,1
141,Ruth Mcneil,8647.99,1
3518,Robin Hill,8643.45,1
7383,Yolanda Massey,8640.15,1
1048,Erika Davis,8636.25,1
5734,Brandon Burnett,8634.49,1
4597,Danielle Dennis,8625.29,1
5223,Patricia Colon,8623.48,1
3098,Ronald Hoffman,8621.20,1
6385,Samuel Torres,8617.07,1
603,Aaron Miller,8614.87,1
3309,Julie Wade,8614.25,1
1215,Ruth Stanton,8612.23,1
1072,Heather Hunt,8607.33,1
1832,Samuel Vargas,8601.68,1
789,Raymond Costa,8600.41,1
642,Jeremy Alvarez,8599.39,1
4467,Maurice Gonzalez,8591.95,1
9231,Patrick Murphy,8589.34,1
1001,Jerome Cole,8588.57,1
488,Jennifer Carr,8587.59,1
6945,George Smith,8580.34,1
3169,Joseph Parker,8568.78,1
4543,Nancy Knight,8566.45,1
892,Paula Johnson,8566.06,1
9081,Leslie Sanchez,8562.60,1
148,Jorge Brown PhD,8558.30,1
121,Derrick Anderson,8546.96,1
8926,Debra Rodriguez,8541.58,1
2428,Marie Johnson,8538.95,1
2495,Neil Mitchell,8537.99,1
9350,Sharon Kelly MD,8537.13,1
8123,Wesley Fuller,8533.94,1
1838,Wayne Kelly,8528.62,1
6397,Kristen Dickson,8527.85,1
4317,Ann Morgan,8520.91,1
7616,Kathleen Olson,8519.54,1
497,Paula Shepherd,8517.78,1
3780,Russell Velazquez,8516.87,1
3333,Anita Stone,8514.56,1
7462,Renee Solomon,8508.47,1
4023,Kenneth Ramos,8504.69,1
2797,Joy Fletcher,8503.97,1
1903,Lydia Davis,8502.53,1
1433,Kyle Young,8498.18,1
4551,Shane Rodriguez,8494.03,1
6865,Jennifer Howell,8492.12,1
2239,Christine Vasquez,8489.98,1
9404,Mary Weiss,8486.97,1
6095,Brett Horn,8482.77,1
2651,Brooke Cox,8480.96,1
3981,Dawn Chase,8480.62,1
5337,Courtney Villa,8471.32,1
776,Madison Thomas,8471.00,1
9158,Eric Bush,8463.74,1
3927,Patricia Brown,8460.83,1
3473,Brian Davis,8460.50,1
3180,Angel Roberts,8458.41,1
4631,Christopher Cook,8457.40,1
917,Jane Neal,8457.08,1
1790,Jennifer Moore,8455.57,1
5326,Leah Willis,8452.90,1
5625,Jeremy Guerrero,8438.54,1
3456,Gloria Brown,8437.72,1
2256,Justin Graham,8423.05,1
2962,Noah Braun,8417.25,1
2252,Jeremiah Williams,8416.72,1
7118,Natalie Kaiser,8415.46,1
4397,Grant Jacobson,8413.37,1
2717,Amanda Williams,8409.19,1
6156,Shaun Walsh,8407.33,1
409,Eric Garrett,8406.96,1
1106,Krista Vargas,8405.60,1
3614,Victoria Beltran,8401.39,1
6938,Julie Myers,8394.63,1
4142,Mark Randolph,8394.26,1
551,John Wall,8392.65,1
4752,Crystal Hicks,8388.97,1
1529,Jesse Nixon,8386.69,1
6745,Brandon Nelson,8384.74,1
3694,Brooke Shepherd,8379.73,1
3355,Kenneth Anderson,8376.06,1
6285,Nathan Hamilton,8374.93,1
9949,Chelsea Graves,8373.83,1
6052,Jared Cox,8372.32,1
6027,Angela West,8369.02,1
9524,Mary Livingston,8368.73,1
